ID,cidade,pf1,sexo,idade1,idade,p3a,p3b,p3c,p3d,p3e,p3f,p3g,p3h,p3i,p3j,p3k,p3l,p3m,p3n,p4a,p4b,p4c,p4d,p4e,p4f,p4g,p4h,p4i,p4j,p4k,p4l,p4m,p4n,p57,religiao,RELIGIAO2,escola,p59,PESO
48574980,6,1,1,16,2,7,9,9,10,8,8,7,9,6,4,96,5,8,3,2,2,1,3,3,1,1,3,1,3,4,3,1,2,1,3,2,2,2,1.088559916
48575215,6,1,1,25,3,10,10,10,10,3,96,10,96,10,10,10,96,10,96,1,2,3,3,4,4,3,4,2,4,3,4,1,1,2,4,2,5,2,0.892170433
48575245,12,1,1,53,5,10,10,10,10,10,10,7,10,7,10,96,10,5,5,3,3,3,4,4,3,4,4,3,4,4,3,2,3,4,3,2,5,2,1.329312308
48575404,12,1,2,56,5,10,10,10,10,10,10,8,10,8,10,96,9,10,96,3,1,3,3,4,3,3,3,3,3,4,3,2,4,4,4,2,5,2,1.305583222
48575928,12,1,1,30,3,5,7,5,2,3,5,2,96,7,2,96,2,5,10,3,2,3,3,3,3,3,4,3,3,4,4,3,1,2,11,4,6,3,1.027969313
48576017,12,1,1,26,3,6,10,7,8,7,7,8,6,10,6,8,6,6,6,3,4,2,4,4,4,3,4,1,4,4,4,1,1,2,2,1,5,1,1.060668106
48576031,12,1,2,60,6,7,4,96,7,6,5,5,96,6,96,96,8,8,9,2,2,4,3,3,3,3,4,3,3,4,2,2,1,2,11,4,5,3,1.060668106
48576165,12,1,1,60,6,10,9,10,10,96,10,9,5,5,5,96,5,10,96,2,1,3,3,4,4,1,3,2,4,3,2,1,4,1,8,7,5,2,1.300027446
48576284,12,1,1,23,2,10,10,10,96,10,10,96,96,10,96,10,96,96,10,4,3,4,4,4,4,4,4,3,4,4,4,4,1,1,3,2,4,3,1.329312308
48576285,12,1,2,16,2,10,10,96,10,10,96,10,96,10,96,96,96,9,96,2,3,4,3,2,4,4,4,4,4,4,4,4,3,1,8,7,2,3,1.076546685
48576353,12,1,2,49,5,2,4,3,9,10,8,8,9,9,9,8,4,8,2,3,3,3,2,3,2,3,4,3,4,4,3,2,2,4,8,7,7,2,0.9838912748
48576413,12,1,2,20,2,10,10,10,5,8,10,10,8,10,5,5,10,5,5,1,3,3,1,1,1,1,4,2,1,4,2,4,4,2,8,7,5,3,0.8521014513
48576415,12,1,1,27,3,8,10,8,8,10,8,8,10,10,10,5,8,9,5,3,1,3,3,1,3,3,1,1,2,4,2,3,1,2,1,1,7,1,0.8027385099
48576439,12,1,1,77,6,96,96,96,96,96,96,96,96,96,96,96,96,96,96,4,3,4,4,4,2,4,4,3,4,4,4,3,4,1,8,7,2,2,1.076546685
48576515,12,1,1,29,3,8,10,2,2,8,5,5,3,10,5,96,2,8,10,2,1,3,3,2,1,3,3,1,3,3,4,1,1,2,11,4,7,1,0.8896395386
48576671,12,1,1,48,5,8,7,6,8,8,5,7,6,9,8,1,3,9,96,1,2,3,1,2,4,3,3,3,3,3,1,3,4,1,8,7,6,2,0.8202243049
48576702,12,1,1,16,2,7,10,4,9,10,2,1,10,10,8,4,8,8,10,1,2,1,2,1,4,4,4,1,4,4,4,1,1,1,3,2,4,4,1.300027446
48576730,12,1,1,39,4,8,8,7,8,8,8,9,6,6,8,3,7,8,4,3,1,3,3,3,4,2,4,3,4,3,4,2,3,2,8,7,3,1,1.648219371
48576905,12,1,2,42,4,10,9,8,10,10,10,10,5,8,9,96,10,10,96,1,2,3,2,1,3,1,4,3,1,4,2,1,4,1,7,6,3,2,1.320746709
48577308,12,1,2,13,1,8,9,96,6,9,9,2,5,8,8,96,7,9,6,1,1,4,2,1,2,4,2,1,2,3,2,1,1,1,8,7,2,5,1.462361882
48577551,12,1,2,43,4,9,10,8,10,10,8,10,8,10,10,5,9,9,96,2,1,2,1,2,1,3,2,1,3,4,1,2,4,2,8,7,7,1,1.027969313
48577723,6,1,1,12,1,9,10,6,96,96,96,96,6,8,96,96,7,8,10,2,1,4,4,4,4,4,4,4,4,4,2,1,1,1,3,2,2,2,1.144002593
48577760,12,1,1,15,1,2,10,5,5,3,96,96,96,96,5,96,96,2,10,1,1,3,3,4,4,3,3,4,4,4,4,4,1,1,8,7,4,3,1.060668106
48577879,12,1,2,40,4,5,10,10,5,10,10,10,5,10,5,5,5,5,5,4,2,3,4,4,4,3,4,2,4,4,4,4,1,1,3,2,5,1,1.065200959
48577900,12,1,1,48,5,8,9,2,7,1,96,96,7,3,3,96,8,7,96,2,1,3,3,3,4,4,3,3,4,4,2,1,4,2,3,2,7,3,1.027969313
48578093,12,1,2,29,3,3,96,7,4,6,8,8,2,10,2,10,6,3,10,4,4,3,4,4,1,2,3,3,4,2,4,3,1,2,8,7,5,1,1.065200959
48578859,12,1,2,48,5,3,10,5,10,6,5,2,96,10,96,96,3,5,5,4,4,4,1,4,4,4,4,3,4,4,1,3,1,2,8,7,2,3,1.315126406
48578908,6,1,1,49,5,10,96,96,8,96,8,10,1,3,2,5,10,4,96,3,3,3,3,4,3,2,4,4,4,4,1,4,3,2,8,7,5,2,0.406782474
48578980,12,1,2,65,6,9,8,6,9,96,4,5,8,96,8,96,8,5,96,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,8,7,1,3,0.8619980471
48579038,12,1,1,18,2,6,8,8,6,7,7,7,6,8,7,8,7,6,8,3,2,3,3,2,2,3,4,2,2,2,4,3,1,1,3,2,5,2,1.084561078
48579076,12,1,1,27,3,96,10,5,5,8,10,10,96,10,7,10,5,5,10,3,1,2,3,4,2,1,4,1,3,1,2,3,1,1,6,5,5,3,1.065200959
48579151,12,1,2,21,2,10,10,10,10,10,10,10,5,10,5,96,10,10,5,3,3,4,3,4,3,3,4,3,4,4,1,2,2,2,8,7,5,3,0.9386159731
48579249,12,1,1,15,1,5,10,5,10,10,10,8,5,8,5,96,8,7,10,1,1,3,2,2,2,3,4,2,3,4,4,1,1,1,3,2,4,2,1.329312308
48579439,12,1,1,77,6,96,96,96,8,10,96,96,10,96,96,96,96,10,96,3,3,3,2,2,4,3,3,3,4,4,3,3,4,3,8,7,3,3,1.61190896
48579572,12,1,1,30,3,5,6,10,96,5,96,10,5,96,5,10,5,10,10,4,4,2,4,4,4,4,4,2,4,3,4,2,2,1,11,4,1,2,1.320746709
48579834,12,1,2,53,5,96,2,10,8,10,10,9,2,10,10,1,6,3,96,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,8,7,2,2,1.315126406
48579850,12,1,1,18,2,7,8,7,8,8,7,5,5,8,8,4,9,7,7,1,2,3,2,2,4,2,4,2,3,4,2,1,2,1,11,4,5,2,1.060668106
48579920,6,1,1,46,5,8,7,96,8,8,8,10,96,7,7,8,9,9,8,3,3,4,3,4,4,3,4,3,4,4,4,4,2,1,8,7,5,2,1.006759341
48579971,12,1,1,39,4,2,5,10,6,96,10,10,96,10,96,96,8,96,96,4,4,3,4,4,3,3,4,3,4,4,3,3,4,2,8,7,5,3,0.9622631588
48580028,12,1,2,68,6,10,10,5,10,5,8,6,9,8,7,5,10,10,96,1,2,3,2,2,3,3,2,3,2,4,2,1,3,4,12,4,7,3,1.009619394
48580429,12,1,2,16,2,7,10,7,10,5,8,5,5,10,96,8,10,4,5,1,1,2,1,1,2,2,4,1,4,2,2,2,1,1,3,2,4,5,1.329312308
48581005,12,1,2,19,2,6,9,7,4,5,8,4,4,10,5,8,6,6,7,3,3,4,4,4,4,4,4,1,4,3,4,1,1,1,1,1,5,3,1.038056456
48581053,12,1,2,53,5,10,8,8,10,10,10,8,5,10,8,5,10,8,8,3,1,3,3,3,3,3,3,3,4,4,3,2,3,1,7,6,5,3,1.060668106
48581551,12,1,1,50,5,2,4,96,6,96,2,6,96,96,96,96,96,5,7,3,3,4,4,4,4,2,4,4,4,4,4,1,1,2,3,2,5,3,1.084561078
48581972,12,1,1,44,4,96,10,96,9,9,9,7,5,10,9,96,10,96,9,4,4,4,4,4,4,4,4,3,4,4,4,4,3,2,8,7,2,2,1.193113739
48582129,12,1,2,69,6,8,96,8,8,10,8,10,10,10,10,96,9,8,96,3,3,3,4,4,4,3,3,3,3,4,3,2,4,3,8,7,3,3,1.076546685
48582181,12,1,1,34,3,2,8,6,5,6,5,7,7,7,5,96,6,1,10,3,1,3,3,3,3,3,4,3,3,4,3,3,1,1,11,4,8,3,1.009619394
48582185,6,1,2,35,4,7,3,3,1,4,3,3,96,2,4,96,1,6,2,4,3,4,4,4,4,3,4,3,4,4,3,4,4,2,11,4,4,2,0.8405688847
48582313,12,1,2,19,2,10,10,5,7,10,5,5,5,10,7,2,5,10,8,3,2,3,3,1,4,4,4,2,4,2,3,1,1,1,1,1,6,3,0.8027385099
48582443,12,1,2,20,2,10,10,96,8,10,1,8,8,10,2,10,10,1,1,1,1,4,2,2,4,1,2,2,3,2,1,1,4,1,11,4,6,3,0.7441268632
48583027,12,1,2,40,4,8,10,10,5,7,10,10,4,10,5,96,5,7,10,3,3,4,3,1,2,1,4,1,4,4,3,3,1,2,3,2,5,2,1.060668106
48583377,12,1,1,24,2,7,10,2,6,10,6,96,10,7,4,9,3,8,10,2,1,3,3,1,2,4,1,1,2,2,3,1,1,1,12,4,6,1,0.9120528279
48583595,12,1,2,33,3,6,8,7,8,5,10,5,4,10,9,96,5,96,96,3,3,4,3,3,1,3,4,2,4,4,3,3,3,1,2,1,7,1,0.8387009575
48583881,12,1,2,50,5,3,5,4,2,3,8,4,4,5,9,6,7,2,10,4,3,3,4,3,2,3,4,2,4,3,1,3,1,4,8,7,2,2,1.344751393
48583999,12,1,1,74,6,96,3,5,96,96,2,96,96,5,96,96,96,96,96,3,3,3,4,4,4,4,4,3,4,4,4,4,4,2,3,2,1,3,1.030385711
48584000,12,1,1,55,5,3,10,3,8,8,2,4,2,6,5,96,7,5,96,3,1,3,3,3,4,3,4,2,4,4,2,3,4,2,8,7,6,2,1.009619394
48584001,12,1,1,16,2,5,8,5,3,5,10,6,2,6,5,9,5,5,10,1,1,3,2,4,2,4,4,1,4,1,2,1,1,1,1,1,3,1,1.287090136
48584002,12,1,1,32,3,6,10,8,10,10,10,9,4,8,10,10,10,10,2,1,1,1,1,1,1,1,2,1,1,1,1,1,3,1,8,7,7,1,0.9838912748
48584008,12,1,2,24,2,9,5,96,96,5,5,7,96,8,8,2,4,10,96,1,2,3,3,2,2,3,3,2,2,2,2,1,3,2,11,4,6,3,0.7441268632
48584022,12,1,1,49,5,8,10,10,10,4,6,8,7,5,3,4,7,7,5,1,3,3,3,4,4,3,4,3,4,3,3,3,2,2,3,2,6,2,1.009619394
48584142,12,1,2,37,4,5,10,10,10,5,5,5,4,7,5,5,5,5,10,3,2,2,2,3,3,3,3,3,3,3,3,3,1,2,7,6,5,2,1.329312308
48584249,12,1,1,46,5,10,10,96,10,10,96,96,10,10,8,96,8,96,96,4,3,3,3,4,3,3,3,3,4,4,4,4,4,1,8,7,1,2,1.315126406
48584561,12,1,1,13,1,96,10,10,5,10,10,96,96,10,96,96,96,96,10,1,1,1,4,4,2,4,4,4,4,4,4,4,1,1,3,2,2,2,1.344751393
48584562,12,1,2,13,1,7,10,10,9,10,10,7,10,10,8,96,9,5,10,1,1,3,3,3,3,3,2,1,1,4,3,1,1,1,4,2,2,2,1.344751393
48584674,12,1,2,72,6,6,8,9,9,8,8,9,10,9,96,96,8,5,96,2,2,3,4,4,4,3,3,4,4,3,2,4,4,3,7,6,5,6,0.9622631588
48584858,6,1,1,30,3,7,10,9,6,8,7,9,7,10,6,96,10,9,96,3,1,4,4,4,4,4,4,4,4,4,3,2,1,2,2,1,4,1,1.181823652
48584964,12,1,1,59,5,96,10,10,5,10,6,10,8,8,5,96,10,96,96,4,2,3,3,3,3,2,3,3,4,4,2,4,4,2,8,7,3,2,1.344751393
48584971,12,1,1,21,2,5,10,6,10,10,5,1,1,4,4,96,3,8,10,3,3,3,3,3,3,3,3,3,4,4,3,1,3,2,4,2,5,3,1.060668106
48585066,12,1,2,34,3,6,10,5,8,8,6,8,6,4,6,1,10,10,10,4,1,3,3,3,2,3,4,3,3,4,2,1,1,1,3,2,5,2,1.084561078
48585081,12,1,2,18,2,10,10,6,10,10,9,5,1,10,7,5,2,10,3,2,1,3,4,3,3,4,4,3,4,4,3,1,1,1,8,7,5,99,1.300027446
48585121,12,1,1,24,2,5,8,4,96,7,6,10,96,10,96,10,96,7,8,3,2,3,3,1,3,3,4,1,3,2,4,2,1,1,5,1,4,3,1.084561078
48585470,12,1,2,49,5,9,10,3,9,10,10,10,10,10,9,10,10,10,96,3,2,3,3,3,3,3,2,2,3,3,2,1,3,3,9,3,7,3,0.6589378117
48585716,12,1,1,18,2,8,10,6,8,10,10,6,10,10,8,96,8,8,4,1,3,4,2,1,1,1,4,1,1,4,1,1,2,1,1,1,6,2,1.009619394
48585729,12,1,2,39,4,10,10,7,10,10,10,10,8,10,8,10,10,10,96,2,2,3,2,1,2,2,3,1,3,2,2,1,4,1,10,3,7,2,0.7441268632
48585765,12,1,2,18,2,10,10,8,9,10,10,10,10,7,10,96,9,8,3,1,1,1,3,3,3,1,4,3,2,4,3,1,1,1,3,2,5,2,1.060668106
48585793,12,1,1,49,5,1,5,3,2,1,96,4,96,1,96,96,96,5,10,3,2,2,4,4,2,2,4,4,4,4,4,2,1,2,11,4,5,3,1.272313059
48585950,12,1,2,52,5,5,96,3,8,4,96,96,96,5,4,96,9,4,96,3,4,3,4,4,3,1,4,3,3,3,1,2,1,1,2,1,3,3,1.320746709
48585983,12,1,2,55,5,7,96,5,9,3,2,96,8,5,7,96,10,10,96,2,4,3,2,3,4,4,4,4,4,4,3,2,4,2,3,2,2,2,1.61190896
48586129,12,1,1,36,4,96,10,10,5,8,96,5,10,8,96,96,5,8,10,4,2,2,4,3,4,3,4,3,4,4,1,2,1,2,8,7,7,3,1.005323062
48586428,12,1,1,40,4,6,8,7,7,7,7,7,7,7,5,5,6,6,7,3,1,2,3,2,2,3,4,2,4,3,3,2,1,2,8,7,5,3,1.329312308
48586671,12,1,2,18,2,4,9,10,6,7,10,8,3,6,8,9,5,3,10,3,2,3,4,4,1,1,4,1,2,4,4,1,1,2,2,1,5,1,1.084561078
48586678,12,1,2,17,2,9,10,96,9,8,10,8,5,8,5,6,7,10,5,3,2,4,3,4,1,2,4,4,4,4,3,1,1,1,1,1,4,3,1.084561078
48586806,12,1,1,39,4,8,10,8,10,6,96,9,5,10,6,5,96,4,7,2,1,3,1,1,3,1,4,2,3,3,2,1,1,2,11,4,8,3,1.027969313
48587023,12,1,1,14,1,10,9,6,8,9,8,7,9,6,7,96,8,8,10,1,1,4,1,3,1,1,3,3,3,4,3,1,1,1,1,1,4,4,0.8521014513
48587039,6,1,2,34,3,3,2,6,96,9,2,2,2,4,2,96,2,2,2,3,1,4,4,4,1,4,4,3,4,4,3,3,4,2,3,2,5,2,1.037504047
48587162,12,1,2,15,1,96,10,4,96,3,8,6,7,9,96,8,96,96,10,1,1,4,3,3,1,1,4,4,4,3,4,3,1,1,8,7,4,3,1.305583222
48587210,12,1,2,74,6,9,8,7,10,10,10,9,10,10,10,5,10,9,4,3,3,3,2,2,2,3,3,2,2,4,2,3,4,3,8,7,2,1,1.193113739
48587269,12,1,1,18,2,10,10,9,10,7,10,96,96,10,96,96,8,9,5,1,1,3,4,4,4,4,3,3,4,4,3,2,1,1,3,2,4,3,1.329312308
48587325,12,1,2,35,4,3,9,10,96,10,7,6,96,9,96,96,2,5,96,3,2,3,4,2,3,2,4,1,4,4,3,3,3,1,3,2,5,3,0.9622631588
48587845,12,1,2,48,5,8,10,8,8,10,10,5,10,7,10,96,5,6,2,3,2,3,3,3,1,3,4,1,3,4,3,2,1,2,3,2,6,3,1.027969313
48587879,12,1,2,28,3,9,10,7,9,9,8,7,6,6,10,2,8,9,6,2,2,2,3,2,2,3,4,3,1,4,1,1,1,2,8,7,7,3,0.8202243049
48587936,12,1,1,25,3,3,8,3,6,6,7,6,96,5,4,10,5,6,8,2,1,3,2,2,2,2,3,2,2,2,2,1,1,1,8,7,6,3,0.9120528279
48588147,12,1,2,42,4,96,96,4,96,96,96,10,96,10,96,96,5,96,96,4,3,3,4,4,3,2,4,3,4,4,3,4,4,2,8,7,3,2,1.315126406
48588180,12,1,2,33,3,9,10,8,9,10,8,9,9,10,5,9,7,9,9,3,1,3,2,1,3,1,4,3,4,4,3,1,1,1,7,6,8,2,0.9120528279
48588297,12,1,1,15,1,8,10,96,7,9,9,96,5,9,96,96,5,9,10,1,1,2,2,2,4,4,4,1,4,4,4,1,1,1,12,4,4,1,1.305583222
48588726,12,1,2,40,4,96,7,8,3,9,3,6,1,7,2,96,7,1,96,3,1,2,3,2,3,3,3,2,4,4,2,3,3,2,2,1,7,3,1.005323062
48588745,6,1,2,13,1,9,10,6,10,10,10,9,8,8,7,8,10,9,96,4,1,4,4,4,4,3,4,4,4,4,3,3,2,1,3,2,2,2,1.144002593
48589034,12,1,2,22,2,5,10,8,8,8,9,6,9,10,8,96,9,8,10,1,1,2,3,2,3,2,2,1,3,4,3,2,1,1,3,2,6,2,0.8896395386
48589875,6,1,2,32,3,9,2,96,8,2,5,3,8,8,3,96,8,9,2,3,2,2,4,4,4,4,4,4,2,4,2,1,4,2,4,2,7,2,0.9015118783
48589876,12,1,1,34,3,5,8,7,5,8,4,6,5,9,3,96,3,2,10,1,1,3,1,4,4,3,4,4,1,4,4,1,1,1,8,7,5,1,1.179415606
48592031,6,1,1,29,3,8,8,8,8,10,5,8,10,7,8,5,10,10,8,1,1,1,3,3,1,1,2,3,3,2,3,1,1,2,9,3,5,2,1.037504047
48592369,12,1,2,72,6,10,9,3,8,10,10,10,1,10,5,1,6,2,96,2,1,3,3,2,2,3,4,4,4,4,3,1,4,3,8,7,1,3,1.287090136
48592370,12,1,1,42,4,96,8,5,5,8,8,5,3,8,96,96,5,96,8,3,2,4,3,2,2,3,4,2,4,4,3,3,1,2,8,7,5,3,1.084561078
48592371,12,1,2,47,5,10,10,7,10,10,10,10,10,7,10,3,10,10,96,1,1,3,1,2,3,1,3,3,1,4,1,1,4,2,5,1,5,2,1.272313059
48598924,6,1,2,45,5,96,96,96,96,96,96,96,96,96,96,96,10,10,96,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,6,1.146802274
